feature,importance
Packet Length Variance,0.08892856026516856
Bwd Packet Length Max,0.07987696021906993
Destination Port,0.06115520481818998
Total Length of Fwd Packets,0.057354865377612176
Max Packet Length,0.05373942377680654
Packet Length Mean,0.046738719837821394
Fwd Packet Length Max,0.038260374740898724
Fwd Packet Length Mean,0.038141565363559
Init_Win_bytes_forward,0.034508979173436184
Flow IAT Max,0.03239775785016022
Fwd Header Length,0.03180312026207278
Fwd IAT Std,0.03022785046270399
Bwd Header Length,0.030034094354295094
Init_Win_bytes_backward,0.028016034386346908
PSH Flag Count,0.026207795805953765
Fwd IAT Mean,0.024927676743362447
Bwd Packets/s,0.02409228602839689
Total Fwd Packets,0.02212006321976264
Flow IAT Std,0.02196490411930455
Bwd Packet Length Min,0.02158136637501147
Flow Packets/s,0.020312688280571294
Flow Bytes/s,0.019890118202852764
act_data_pkt_fwd,0.01925405916119222
Flow IAT Mean,0.019082833817580747
min_seg_size_forward,0.018102939880307922
Fwd IAT Min,0.01622817334004764
Flow Duration,0.01438833670460324
ACK Flag Count,0.01277798673026239
Min Packet Length,0.010826766406654214
Fwd Packet Length Min,0.006870022133902352
Flow IAT Min,0.006740153133966893
Bwd IAT Mean,0.006687191671781489
Bwd IAT Total,0.0049045921066819135
Down/Up Ratio,0.004073367797116647
Bwd IAT Max,0.003971756648406053
Active Mean,0.003912216466420624
URG Flag Count,0.003865894447914492
Active Min,0.0036650403102644457
Active Max,0.0034401486948786877
Bwd IAT Min,0.002935840260617588
Bwd IAT Std,0.0026019225976722654
FIN Flag Count,0.0017757353280056483
Active Std,0.0006166300361340817
Fwd PSH Flags,0.0005421932853150805
Idle Std,0.0004387464241908181
Fwd URG Flags,1.67143943638348e-05
RST Flag Count,3.285583614168089e-07
