feature,importance
Packet Length Variance,0.08486527539311524
Destination Port,0.08053739956513051
Bwd Packet Length Mean,0.0617522758354239
Init_Win_bytes_backward,0.049719359671707736
Bwd Packet Length Min,0.04804899640595498
Init_Win_bytes_forward,0.04779261500379948
Fwd Packet Length Mean,0.045671342913299204
Fwd Packet Length Max,0.045310759762010634
Total Length of Fwd Packets,0.04483365403314075
Bwd Packet Length Max,0.044757813519187915
Fwd Packet Length Min,0.043192840005999954
Packet Length Mean,0.042248965825257175
Max Packet Length,0.04160788661428317
Fwd Header Length,0.03406334412100844
Min Packet Length,0.025401057085488534
Bwd Header Length,0.022902422223833062
Total Fwd Packets,0.020968521815426126
Flow IAT Max,0.01457459927810411
URG Flag Count,0.013822588661942622
Fwd IAT Mean,0.012881904726409241
Bwd Packets/s,0.012691680079680651
Fwd IAT Std,0.012564039836675757
Flow Bytes/s,0.012523595632304447
Flow IAT Mean,0.012325874787818108
min_seg_size_forward,0.012284965642119299
Flow Packets/s,0.011833782708072345
Fwd IAT Min,0.011645929998366803
Fwd Packet Length Std,0.011014288809079504
Flow Duration,0.007929060653311958
PSH Flag Count,0.007766812970134813
act_data_pkt_fwd,0.007586580398311872
Flow IAT Std,0.007099856174643132
Flow IAT Min,0.006705093361498611
Bwd IAT Max,0.0065773631626749015
ACK Flag Count,0.005507333624760646
Bwd IAT Mean,0.0049996853469001816
Bwd IAT Min,0.0043020873256109865
Bwd IAT Total,0.004273768812627092
Idle Mean,0.0026536567919237166
Down/Up Ratio,0.0026504580580645576
Bwd IAT Std,0.002426842917923432
Active Std,0.002146600017630073
FIN Flag Count,0.0013162810119453352
Active Max,0.0012874019192377095
Active Mean,0.0011539620647385866
Active Min,0.001012178558670511
Fwd PSH Flags,0.0005621753361265945
Idle Std,0.00019370574534176364
Fwd URG Flags,1.1228103554383604e-05
RST Flag Count,8.768972938821632e-08
