feature,importance
bidirectional_rst_packets,0.105846
src2dst_max_ps,0.066296
src2dst_mean_ps,0.062499
src2dst_syn_packets,0.052204
bidirectional_syn_packets,0.043153
dst2src_mean_ps,0.041147
bidirectional_ack_packets,0.040322
dst2src_max_ps,0.038682
dst2src_stddev_ps,0.035356
src2dst_bytes,0.034478
dst2src_ack_packets,0.031936
protocol,0.030045
dst2src_min_ps,0.028878
bidirectional_bytes,0.026768
dst_port,0.02607
dst2src_bytes,0.025147
bidirectional_stddev_ps,0.024762
bidirectional_max_ps,0.024721
bidirectional_min_ps,0.023628
src2dst_stddev_ps,0.021762
src2dst_fin_packets,0.020174
dst2src_rst_packets,0.015387
bidirectional_mean_ps,0.014125
bidirectional_stddev_piat_ms,0.010635
src2dst_min_piat_ms,0.010502
src2dst_psh_packets,0.00975
src2dst_packets,0.00871
src2dst_mean_piat_ms,0.00847
src2dst_min_ps,0.008354
bidirectional_mean_piat_ms,0.008185
src2dst_stddev_piat_ms,0.007873
bidirectional_psh_packets,0.007726
dst2src_max_piat_ms,0.007192
bidirectional_max_piat_ms,0.007089
bidirectional_fin_packets,0.007025
dst2src_stddev_piat_ms,0.006941
dst2src_packets,0.006871
src2dst_duration_ms,0.006117
bidirectional_duration_ms,0.005332
bidirectional_packets,0.005216
src2dst_rst_packets,0.005103
dst2src_psh_packets,0.004568
dst2src_mean_piat_ms,0.003919
src2dst_max_piat_ms,0.00337
bidirectional_min_piat_ms,0.003351
src2dst_ack_packets,0.003016
dst2src_syn_packets,0.00296
src_port,0.002694
dst2src_duration_ms,0.002401
dst2src_min_piat_ms,0.00206
dst2src_fin_packets,0.00118
src2dst_urg_packets,1e-06
bidirectional_urg_packets,1e-06
src2dst_ece_packets,1e-06
ip_version,1e-06
src2dst_cwr_packets,0.0
bidirectional_cwr_packets,0.0
bidirectional_ece_packets,0.0
dst2src_ece_packets,0.0
dst2src_cwr_packets,0.0
dst2src_urg_packets,0.0
