feature,importance
bidirectional_rst_packets,0.555997
src2dst_max_ps,0.097642
bidirectional_ack_packets,0.042041
dst2src_ack_packets,0.035534
dst2src_rst_packets,0.033651
src2dst_syn_packets,0.020288
src2dst_fin_packets,0.019697
dst2src_stddev_ps,0.018229
protocol,0.018181
dst2src_mean_ps,0.017336
src2dst_stddev_ps,0.014578
src2dst_mean_ps,0.011673
bidirectional_syn_packets,0.010683
dst_port,0.010476
bidirectional_stddev_piat_ms,0.009374
bidirectional_mean_piat_ms,0.008175
src2dst_psh_packets,0.006584
bidirectional_stddev_ps,0.006187
bidirectional_min_piat_ms,0.005365
dst2src_min_ps,0.005158
dst2src_min_piat_ms,0.00482
bidirectional_max_ps,0.004375
dst2src_psh_packets,0.003877
src2dst_min_piat_ms,0.003836
dst2src_stddev_piat_ms,0.003556
src2dst_packets,0.003165
dst2src_packets,0.002532
dst2src_bytes,0.002362
dst2src_syn_packets,0.002281
src2dst_mean_piat_ms,0.002235
src2dst_ack_packets,0.002226
dst2src_mean_piat_ms,0.001741
bidirectional_fin_packets,0.001574
dst2src_max_ps,0.001453
src2dst_min_ps,0.001418
bidirectional_bytes,0.001399
dst2src_duration_ms,0.001284
src2dst_max_piat_ms,0.001079
bidirectional_min_ps,0.001027
dst2src_max_piat_ms,0.000935
src2dst_duration_ms,0.000836
src2dst_stddev_piat_ms,0.000809
bidirectional_max_piat_ms,0.000782
bidirectional_packets,0.000654
src2dst_rst_packets,0.000652
bidirectional_psh_packets,0.000573
src2dst_bytes,0.000543
src_port,0.000438
bidirectional_duration_ms,0.00031
dst2src_fin_packets,0.000202
bidirectional_mean_ps,0.000176
bidirectional_cwr_packets,0.0
src2dst_urg_packets,0.0
dst2src_urg_packets,0.0
bidirectional_ece_packets,0.0
src2dst_ece_packets,0.0
bidirectional_urg_packets,0.0
src2dst_cwr_packets,0.0
dst2src_cwr_packets,0.0
dst2src_ece_packets,0.0
ip_version,0.0
